id,tanggal,kab,kec,kel,jenis,kk,jiwa,meninggal,hilang,luka,ungsi,ternak,rb,rs,rr,tmdm,sklh,ibdh,sarkes,ktr,kios,jmbtn,jln,swh,kebun,hutan,tmbk,kerugian,lat,lng,penyebab,kronologi,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by,terdampak,tertimbun,pabrik,tmdm_fu,tertimbun_fu,keterangan,ket_penanganan,status,anak_anak,perempuan,laki_laki,lansia,tertimbun_pendidikan,terendam_pendidikan,rr_pendidikan,rs_pendidikan,rb_pendidikan,tertimbun_kesehatan,terendam_kesehatan,rr_kesehatan,rs_kesehatan,rb_kesehatan,tertimbun_kantor,terendam_kantor,rr_kantor,rs_kantor,rb_kantor,tertimbun_ibadah,terendam_ibadah,rr_ibadah,rs_ibadah,rb_ibadah,rr_fu,rs_fu,rb_fu,tertimbun_jembatan,terendam_jembatan,rr_jembatan,rs_jembatan,rb_jembatan,tertimbun_pabrik,terendam_pabrik,rr_pabrik,rs_pabrik,rb_pabrik,tertimbun_toko,terendam_toko,rr_toko,rs_toko,rb_toko,lahan,irigasi,tertimbun_tanggul,terendam_tanggul,rr_tanggul,rs_tanggul,rb_tanggul,meninggal_laki,meninggal_perempuan,hilang_laki,hilang_perempuan,luka_laki,luka_perempuan,mengungsi_laki,mengungsi_perempuan,kategori_laki,kategori_perempuan,DT_RowIndex
4530,29 Maret 2024,Kab. Luwu,Bua,Tana Rigella,"<a href=""/data/4530 "">Banjir</a>",314,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,-3.411869,120.262957,Curah hujan yang tinggi,"Hujan deras terjadi pada pukul 00:09 WITA menyebabkan naiknya debit air pada sungai Bua hingga meluap dan memasuki area pemukiman sehingga terjadi banjir yang merendam ratusan unit rumah warga, sawah, kebun, jalan, sekolah dan posyandu dengan ketinggian air mencapai 50 cm hingga pinggang orang dewasa yang berada di 2 Kecamatan yakni Kecamatan Bua, Ponrang dan 10 Desa. Kejadian ini juga mengakibatkan 1 unit tanggul penahan tebing jalan hanyut terbawa air sepanjang -/+ 21 meter yang mengakibatkan kerusakan pada badan jalan poros desa di Desa Parekaju Kecamatan Ponrang.",2024-03-29 09:12:07,,,7,,,0,0,,0,0,,,0,,,,,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
4529,28 Maret 2024,Kota Palopo,Wara Selatan,Songka,"<a href=""/data/4529 "">Banjir</a>",0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,-3.029384,120.114083,Curah hujan yang tinggi,"Hujan deras terjadi pada pukul 22:00 WITA menyebabkan naiknya debit air pada sungai hingga meluap dan memasuki area pemukiman warga sehingga terjadi banjir yang merendam -/+ 1000 unit rumah warga dan ruas jalan dengan ketinggian air mencapai 60 cm hingga pinggang orang dewasa yang berada di 3 Kecamatan yakni Kecamatan Wara Selatan, Wara, Wara Timur dan 6 Kelurahan. Kejadian ini juga mengakibatkan 1 unit tanggul penahan jebol -/+ sepanjang 10 meter di Kelurahan Surutanga Kecamatan Wara Timur. Banjir juga merendam 1 unit sekolah SDN 31 Salotellue di Kecamatan Wara Timur.",2024-03-29 08:51:37,2024-04-01 04:38:18,,7,7,,0,0,,0,0,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89
4527,25 Maret 2024,Kab. Luwu Utara,Bone Bone,Bone Bone,"<a href=""/data/4527 "">Banjir</a>",0,0,0,0,0,80,0,0,1,0,234,,,,,,,0,306,122,0,50,2385000000,-2.465097,120.364122,Curah hujan yang tinggi,"Hujan deras terjadi pada pukul 20:00 WITA di 2 titik lokasi yang berbeda, Titik pertama, hujan deras menyebabkan naiknya debit air yang membuat meluapnya air sungai Bone-bone sehingga terjadi banjir yang merendam ratusan unit rumah warga, 2 unit masjid, 306 Ha sawah, 478 Ha lahan, 122 Ha kebun campur dan 50 Ha tambak. Kejadian ini juga mengakibatkan terputusnya jembatan gantung penghubung antar desa ke desa dan jebolnya tanggul sepanjang 30 meter di Desa Sidomakmur serta baya-baya sisi kiri bendungan rubuh, 1 unit rumah warga mengalami kerusakan sedang di Kelurahan Bone-Bone dengan ketinggian air mencapai 60 - 100 cm. Dari kejadian tersebut juga mengakibatkan 80 orang jiwa harus mengungsi yang berada di 2 Kecamatan yakni Kecamatan Bone-bone, Tana Lili dan 5 Kelurahan/Desa.  Titik kedua, hujan deras menyebabkan naiknya debit air yang membuat air sungai Pondan dan Tanangkai meluap sehingga terjadi banjir yang merendam puluhan unit rumah warga dan 1 unit masjid yang berada di Desa Buangin Kecamatan Sabbang Selatan.",2024-03-27 00:48:06,2024-03-29 11:18:19,,7,7,,0,0,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90
4526,26 Maret 2024,Kota Palopo,Mungkajang,Mungkajang,"<a href=""/data/4526 "">Banjir</a>",0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,-2.961041,120.117745,Curah hujan yang tinggi,Hujan deras terjadi pada pukul 19:00 WITA yang menyebabkan naiknya debit air sehingga terjadi banjir yang merendam puluhan unit rumah warga dan ruas jalan dengan ketinggian air mencapai 50 cm hingga pinggang orang dewasa yang berada di 3 Kecamatan dan 6 Kelurahan. Kini Tim Reaksi Cepat (TRC) Kota Palopo melakukan pembersihan serta penyedotan air pada rumah warga yang terendam air akibat banjir.,2024-03-27 00:21:24,2024-03-29 10:00:07,,7,7,,0,0,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
4502,10 Maret 2024,Kota Palopo,Wara,Dangerakko,"<a href=""/data/4502 "">Banjir</a>",0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,-3.028755,119.939976,Hujan deras,Hujan deras terjadi pada pukul 11:30 WITA hingga pukul 16:00 WITA yang menyebabkan air sungai meluap hingga menggenangi ruas jalan dan halaman rumah warga belimbing di Kelurahan Dangerakko Kecamatan Wara.,2024-03-13 14:48:32,,,7,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
4501,10 Maret 2024,Kab. Luwu,Suli,Suli,"<a href=""/data/4501 "">Banjir</a>",0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,-3.477668,120.136614,Hujan deras,"Hujan deras terjadi pada pukul 12:00 WITA hingga pukul 16:14 WITA yang menyebabkan naiknya debit air sehingga terjadi banjir yang merendam puluhan unit rumah warga dan ruas jalan dengan ketinggian air mencapai 50 cm hingga pinggang orang dewasa yang berada di Kelurahan Suli Kecamatan Suli, Kelurahan Larompong dan Desa Komba Kecamatan Larompong, Kelurahan Lindajang Kecamatan Suli Barat.",2024-03-13 13:05:34,,,7,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
4495,10 Maret 2024,Kab. Pangkajene Kepulauan,Segeri,Segeri,"<a href=""/data/4495 "">Banjir</a>",0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,-4.797641,119.68287,Hujan deras,"Hujan deras terjadi pada pukul 10:14 WITA yang menyebabkan naiknya debit air sehingga terjadi banjir yang merendam puluhan rumah warga dan ruas jalan dengan ketinggian air mencapai 50 cm, pinggang orang dewasa dan sampai pundak orang dewasa yang berada di beberapa kecamatan, kelurahan dan desa di Kabupaten Pangkep.",2024-03-13 03:01:02,2024-03-17 02:23:20,,7,7,,0,0,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
4476,07 Maret 2024,Kab. Pinrang,Duampanua,Bababinanga,"<a href=""/data/4476 "">Banjir</a>",1,0,0,0,0,3,0,0,0,0,1,,,,,,,0,0,0,0,0,0,-3.90239,120.027866,Curah hujan yang tinggi,Hujan deras terjadi pada pukul 09:30 WITA yang menyebabkan meluapnya air sungai sehingga memasuki pemukiman warga di salah satu rumah warga An. Widodo yang dihuni 3 orang anggota keluarga dengan rumah terendam air. Banjir juga menyebabkan terkikisnya tanah sepanjang 10 meter di sekitar rumah korban karena kondisi rumah korban berjarak 2 meter dari bantaran sungai saddang sehingga korban harus mengungsi ketempat yang lebih aman yang berada di Dusun Babana Desa Bababinaga Kecamatan Duampanua.,2024-03-09 09:03:35,,,7,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
4475,07 Maret 2024,Kab. Luwu Utara,Sabbang,Pengkendekan,"<a href=""/data/4475 "">Banjir</a>",212,695,0,0,0,0,0,0,0,0,120,,,,,,,0,430,0,0,0,0,-2.381287,120.533237,Curah hujan yang tinggi,"Hujan deras terjadi sejak 2 hari terakhir yang menyebabkan air sungai rongkong meluap sehingga menggenangi pemukiman warga, fasilitas umum dan lahan pertanian milik warga dengan ketinggian air mencapai 40 cm hingga 50 cm dengan jumlah rumah sebanyak 120 atau 212 Kepala Keluarga (KK) yang dihuni 695 orang jiwa serta lahan pertanian dan perkebunan seluas 430 Ha yang berada di Dusun Pengkendekan, Dusun To Karawa, Dusun Tanimpong dan Dusun To Biru Desa Pengkendekan Kecamatan Sabbang.",2024-03-09 08:49:16,,,7,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
4474,08 Maret 2024,Kab. Pinrang,Duampanua,Bababinanga,"<a href=""/data/4474 "">Banjir</a>",239,785,0,0,0,0,0,0,0,0,231,,,,,,,0,0,60,0,0,0,-3.939953,119.92238,Curah hujan yang tinggi,"Hujan deras terjadi pada pukul 09:30 WITA yang menyebabkan meluapnya air sungai yang memasuki pemukiman, sekolah dan rumah ibadah serta perkebunan milik warga dengan ketinggian air mencapai 30 cm sehingga terancam akan gagal panen yang berada di Dusun Babana dengan 211 unit rumah terendam atau 211 Kepala Keluarga (KK) yang dihuni 667 orang jiwa serta  -/+ 50 Ha kebun terendam air dan Dusun Cilallang dengan 20 unit rumah terendam atau 28 Kepala Keluarga (KK) yang dihuni 118 orang jiwa serta -/+ 10 Ha kebun terendam air yang berada di Desa Bababinaga Kecamatan Duampanua.",2024-03-09 08:29:19,,,7,,,0,0,,0,0,,,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
4472,08 Maret 2024,Kab. Luwu Utara,Mappedeceng,Ujung Mattajang,"<a href=""/data/4472 "">Banjir</a>",610,2026,0,0,0,0,0,0,0,0,517,,,,,,,0,4553,20,0,0,0,-2.531925,120.435433,Curah hujan yang tinggi,"Curah hujan yang tinggi terjadi pada pukul 08:00 WITA di 7 titik lokasi yang berbeda, Titik pertama, hujan deras yang terjadi sejak 2 hari terakhir menyebabkan meluapnya air sungai Masamba sehingga menggenangi pemukiman warga, fasilitas umum dan lahan pertanian milik warga setinggi 50 cm. Dengan jumlah rumah sebanyak 198 atau 198 Kepala Keluarga (KK) yang dihuni 714 orang jiwa, 1 unit sarana ibadah dan lahan pertanian serta perkebunan seluas 180 Ha terendam air yang berada di Dusun Latoki, Dusun Pawellae, Dusun Putemata dan Dusun Padangnge Desa Putemata Kecamatan Malangke Titik kedua, hujan deras yang terjadi sejak beberapa hari terakhir di hulu sungai baliase menyebabkan meluapnya air sungai sehingga menggenangi pemukiman warga, fasilitas umum dan lahan pertanian milik warga setinggi 30 cm hingga 50 cm. Dengan jumlah rumah sebanyak 5 atau 5 Kepala Keluarga (KK) yang dihuni 20 orang jiwa dan lahan pertanian serta perkebunan seluas 20 Ha terendam air yang berada di Dusun Galenggang Desa Ujung Mattajang Kecamatan Mappedeceng. Titik ketiga, hujan deras yang terjadi sejak beberapa hari terakhir di hulu sungai baliase menyebabkan meluapnya air sungai sehingga menggenangi pemukiman warga, fasilitas umum dan lahan pertanian milik warga setinggi 30 cm hingga 70 cm. Dengan jumlah rumah sebanyak 130 atau 182 Kepala Keluarga (KK) yang dihuni 650 orang jiwa dan lahan pertanian serta perkebunan seluas 20 Ha terendam air yang berada di Dusun Kapidi dan Dusun Labeka Desa Kapidi Kecamatan Mappedeceng. Titik keempat, hujan deras yang terjadi sejak beberapa hari terakhir di hulu sungai baliase menyebabkan meluapnya air sungai sehingga menggenangi pemukiman warga, fasilitas umum dan lahan pertanian milik warga setinggi 30 cm hingga 50 cm. Dengan jumlah rumah sebanyak 70 atau 111 Kepala Keluarga (KK) yang dihuni 300 orang jiwa dan lahan pertanian serta perkebunan seluas 15 Ha terendam air yang berada di Dusun Kapidi dan Dusun Karondang Desa Cendana Putih Dua Kecamatan Mappedeceng. Titik kelima, hujan deras yang terjadi sejak beberapa hari terakhir di hulu sungai Masamba menyebabkan meluapnya air sungai sehingga menggenangi pemukiman warga, fasilitas umum dan lahan pertanian milik warga setinggi 50 cm. Dengan jumlah rumah sebanyak 50 atau 50 Kepala Keluarga (KK) yang dihuni 138 orang jiwa dan lahan pertanian serta perkebunan seluas 135 Ha terendam air yang berada di Dusun Sumbersari dan Dusun Mertasari Desa Giri Kusuma Kecamatan Malangke. Titik keenam, hujan deras yang terjadi sejak beberapa hari terakhir di hulu sungai Masamba menyebabkan meluapnya air sungai sehingga menggenangi pemukiman warga, fasilitas umum dan lahan pertanian milik warga setinggi 50 cm. Dengan jumlah rumah sebanyak 64 atau 64 Kepala Keluarga (KK) yang dihuni 204 orang jiwa, 3 unit rumah ibadah dan lahan pertanian serta perkebunan seluas 4.136 Ha terendam air yang berada di Dusun Pettalandung, Dusun Labauaja dan Dusun Salubance Desa Pettalandung Kecamatan Malangke. Titik ketujuh, hujan deras yang terjadi sejak beberapa hari terakhir di hulu sungai rongkong menyebabkan meluapnya air sungai sehingga menggenangi pemukiman warga, fasilitas umum dan lahan pertanian milik warga setinggi 80 cm hingga 1 meter. Dengan lahan pertanian (sawah) seluas 100 Ha, tanaman jagung seluas 50 Ha serta perkebunan sawit seluas 20 Ha terendam air yang berada di Dusun Cempaka 1 dan 2, Dusun Mawar, Dusun Melati, Dusun Anggrek dan Dusun Seruni Desa Beringin Jaya Kecamatan Baebunta Selatan.",2024-03-09 06:37:31,2024-03-09 07:26:22,,7,7,,0,0,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
4460,07 Maret 2024,Kota Palopo,Wara Timur,Ponjalae,"<a href=""/data/4460 "">Banjir</a>",1,4,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,-2.911725,120.13773,Hujan deras,"Hujan deras terjadi pada pukul 00:10 WITA yang menyebabkan air drainase meluap hingga air masuk ke salah satu rumah warga An. Al-Furkan, S.M (27 Thn) yang dihuni 4 orang anggota keluarga dengan rumah tergenang air setinggi diatas mata kaki orang dewasa yang berada di RT. 03/ RW. 04 Kelurahan Ponjalae Kecamatan Wara Timur.",2024-03-07 01:04:27,,,7,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
