tanggal,lat,lng
2023-01-07,-6.008526,120.482849
2023-03-07,-3.927782,119.856445
2023-06-24,-5.318495,120.236206
2023-05-16,-2.956161,119.977295
2023-02-05,-2.437291,121.026489
2023-10-05,-2.487941,120.466186
2023-08-05,-4.606152,120.050903
2023-09-05,-3.797707,120.255249
2023-08-05,-3.050171,119.993225
2023-04-29,-2.340855,120.356323
2023-01-04,-2.368298,120.515625
2023-08-04,-2.431963,120.806763
2023-03-31,-4.175453,119.999267
2023-03-27,-4.058202,119.828979
2023-03-15,-2.453915,120.449707
2023-03-14,-2.550137,120.416748
2023-03-13,-2.516844,120.444214
2023-02-16,-5.358968,119.622437
2023-02-14,-5.360711,119.587555
2023-02-14,-4.140412,119.927307
2023-02-13,-5.082896,119.608704
2023-01-02,-3.950457,120.097595
2023-01-27,-3.280532,120.223938
2024-10-10,-2.219484,120.784807
2024-11-13,-2.340238,120.208025
2024-12-21,-5.012914,119.704843
2024-12-22,-5.939972,120.513482
2024-12-22,-4.694028,120.103655
2024-12-21,-4.016672,120.169573
2024-12-21,-4.336255,119.92238
2024-12-21,-4.571349,120.218453
2024-12-21,-4.26282,119.759774
2024-05-12,-3.358404,120.250139
2024-12-12,-3.548945,120.142107
2024-12-12,-2.925554,119.977312
2024-12-13,-3.457563,120.180559
2024-03-12,-4.029458,119.809313
2024-06-09,-2.218112,121.060381
2024-07-09,-3.39222,120.264788
2024-07-08,-4.095724,120.196481
2024-06-08,-3.881496,119.845476
2024-06-08,-3.404158,120.251412
2024-06-08,-4.111647,120.180559
2024-06-07,-4.903861,120.098162
2024-06-07,-3.97466,119.850969
2024-07-07,-2.557934,120.349016
2024-04-07,-4.170088,120.056505
2024-02-07,-5.197515,120.197039
2024-01-07,-3.516048,120.131121
2024-09-06,-5.083136,120.069909
2024-04-06,-2.330633,120.362291
2024-04-06,-3.379482,120.237679
2024-03-06,-2.373169,120.383806
2024-03-06,-3.433402,120.237679
2024-02-06,-3.700618,119.719133
2024-02-06,-4.968166,120.199327
2024-02-06,-3.510565,120.087175
2024-02-06,-2.958984,120.078378
2024-10-02,-2.456065,119.816895
2024-05-27,-2.451835,120.455217
2024-05-26,-3.495944,120.213518
2024-05-23,-2.460981,120.35634
2024-03-05,-4.553951,119.980974
2024-09-05,-2.980413,120.026751
2024-08-05,-3.044411,120.010271
2024-04-05,-4.772494,119.966326
2024-03-05,-2.334749,120.400286
2024-03-05,-4.075576,119.901323
2024-04-29,-4.276001,120.131121
2024-04-27,-3.932646,119.839983
2024-04-23,-2.468299,120.405779
2024-04-22,-2.515861,120.328875
2024-04-24,-2.49471,120.148716
2024-04-23,-3.461218,120.257463
2024-04-26,-3.4996,120.142107
2024-04-22,-5.212559,120.193834
2024-08-04,-3.437458,120.246477
2024-09-04,-3.58915,120.114641
2024-11-04,-3.55991,120.032244
2024-04-16,-3.586009,120.163522
2024-12-04,-3.51839,120.188241
2024-04-14,-2.338408,120.334368
2024-02-04,-3.421522,120.190988
2024-01-04,-3.000527,120.070696
2024-03-26,-2.549588,120.423374
2024-03-29,-3.411869,120.262957
2024-03-28,-3.029384,120.114083
2024-03-25,-2.465097,120.364122
2024-10-03,-3.028755,119.939976
2024-07-03,-3.90239,120.027866
2024-07-03,-2.381287,120.533237
2024-08-03,-3.939953,119.92238
2024-08-03,-2.531925,120.435433
2024-05-03,-5.350673,119.925585
2024-02-23,-2.137146,120.999041
2024-02-21,-2.99687,119.631243
2024-02-19,-2.215825,120.658464
2024-02-17,-2.349843,120.249681
2024-11-02,-2.952584,120.086617
2024-01-20,-5.365508,119.686157
2024-01-20,-5.300969,119.8125
2024-01-15,-5.435508,119.686157
2024-01-16,-2.301703,120.78479
2024-01-14,-3.439902,120.136597
2024-05-01,-2.283773,120.22998
2025-04-27,-5.405363,119.93886
2025-04-22,-3.437458,120.229998
2025-04-13,-3.821721,119.729562
2025-12-04,-3.502855,119.638925
2025-04-13,-3.382623,119.60927
2025-04-13,-3.397246,120.246477
2025-11-04,-3.387707,120.276132
2025-10-04,-3.421922,120.228167
2025-04-04,-3.336526,120.263085
2025-01-04,-2.318283,121.075945
2025-03-21,-3.424663,120.229998
2025-06-03,-2.186549,120.543108
2025-04-03,-3.377882,120.228753
2025-02-26,-3.214445,119.559832
2025-02-26,-2.133487,120.850725
2025-02-26,-2.960299,119.603777
2025-07-02,-2.23961,120.784807
2025-11-02,-4.98122,119.716058
2025-10-02,-4.160814,120.24152
2025-11-02,-5.185976,119.567235
2025-09-02,-5.473319,119.627938
2025-09-02,-5.255467,119.766641
2025-01-30,-5.188711,119.491704
2025-01-29,-3.428319,120.197039
2025-01-02,-2.296329,120.713396
2025-01-27,-2.261566,121.042986
2025-01-20,-2.459667,120.43818
2025-01-22,-3.459391,120.142107
2025-01-21,-5.173809,120.131121
2025-01-23,-3.144515,119.963579
2025-01-19,-2.410559,120.533237
2025-01-18,-2.286151,121.016636
2025-01-15,-2.294499,120.422258
2025-01-14,-2.973899,120.060825
2025-02-01,-2.274831,120.891466
2025-05-01,-2.400611,120.306902
